date,hour,value,RIC
2023-12-18,1,57.29,HEEGRAUCH
2023-12-17,24,53.02,HEEGRAUCH
2023-12-17,23,64.75,HEEGRAUCH
2023-12-17,22,71.61,HEEGRAUCH
2023-12-17,21,107.01,HEEGRAUCH
2023-12-17,20,122.01,HEEGRAUCH
2023-12-17,19,122,HEEGRAUCH
2023-12-17,18,122.01,HEEGRAUCH
2023-12-17,17,122.01,HEEGRAUCH
2023-12-17,16,110.94,HEEGRAUCH
2023-12-17,15,103.12,HEEGRAUCH
2023-12-17,14,44.53,HEEGRAUCH
2023-12-17,13,43.71,HEEGRAUCH
2023-12-17,12,49,HEEGRAUCH
2023-12-17,11,54.44,HEEGRAUCH
2023-12-17,10,59.17,HEEGRAUCH
2023-12-17,9,58.01,HEEGRAUCH
2023-12-17,8,46.91,HEEGRAUCH
2023-12-17,7,40,HEEGRAUCH
2023-12-17,6,30.29,HEEGRAUCH
2023-12-17,5,26.49,HEEGRAUCH
2023-12-17,4,29.29,HEEGRAUCH
2023-12-17,3,47.89,HEEGRAUCH
2023-12-17,2,44.68,HEEGRAUCH
2023-12-17,1,46.25,HEEGRAUCH
2023-12-16,24,54.7,HEEGRAUCH
2023-12-16,23,66.61,HEEGRAUCH
2023-12-16,22,65.08,HEEGRAUCH
2023-12-16,21,76.68,HEEGRAUCH
2023-12-16,20,117.55,HEEGRAUCH
2023-12-16,19,114.27,HEEGRAUCH
2023-12-16,18,117.29,HEEGRAUCH
2023-12-16,17,121.37,HEEGRAUCH
2023-12-16,16,95.93,HEEGRAUCH
2023-12-16,15,103.79,HEEGRAUCH
2023-12-16,14,78.11,HEEGRAUCH
2023-12-16,13,95.93,HEEGRAUCH
2023-12-16,12,87.28,HEEGRAUCH
2023-12-16,11,90,HEEGRAUCH
2023-12-16,10,99.79,HEEGRAUCH
2023-12-16,9,101.84,HEEGRAUCH
2023-12-16,8,65.1,HEEGRAUCH
2023-12-16,7,59.34,HEEGRAUCH
2023-12-16,6,55.64,HEEGRAUCH
2023-12-16,5,54.1,HEEGRAUCH
2023-12-16,4,66.9,HEEGRAUCH
2023-12-16,3,70.35,HEEGRAUCH
2023-12-16,2,84.35,HEEGRAUCH
2023-12-16,1,86.59,HEEGRAUCH
2023-12-15,24,76.71,HEEGRAUCH
2023-12-15,23,92.8,HEEGRAUCH
2023-12-15,22,88.36,HEEGRAUCH
2023-12-15,21,93.37,HEEGRAUCH
2023-12-15,20,101.01,HEEGRAUCH
2023-12-15,19,108.97,HEEGRAUCH
2023-12-15,18,116.43,HEEGRAUCH
2023-12-15,17,122,HEEGRAUCH
2023-12-15,16,112.16,HEEGRAUCH
2023-12-15,15,112.16,HEEGRAUCH
2023-12-15,14,107.01,HEEGRAUCH
2023-12-15,13,107.6,HEEGRAUCH
2023-12-15,12,106.41,HEEGRAUCH
2023-12-15,11,110.82,HEEGRAUCH
2023-12-15,10,122,HEEGRAUCH
2023-12-15,9,121.5,HEEGRAUCH
2023-12-15,8,110.58,HEEGRAUCH
2023-12-15,7,95.97,HEEGRAUCH
2023-12-15,6,80.41,HEEGRAUCH
2023-12-15,5,75.16,HEEGRAUCH
2023-12-15,4,54.73,HEEGRAUCH
2023-12-15,3,60,HEEGRAUCH
2023-12-15,2,68.89,HEEGRAUCH
2023-12-15,1,70,HEEGRAUCH
2023-12-14,24,85.57,HEEGRAUCH
2023-12-14,23,94.46,HEEGRAUCH
2023-12-14,22,96.2,HEEGRAUCH
2023-12-14,21,106.02,HEEGRAUCH
2023-12-14,20,118.08,HEEGRAUCH
2023-12-14,19,126.29,HEEGRAUCH
2023-12-14,18,128.79,HEEGRAUCH
2023-12-14,17,132.41,HEEGRAUCH
2023-12-14,16,126,HEEGRAUCH
2023-12-14,15,118.08,HEEGRAUCH
2023-12-14,14,116.5,HEEGRAUCH
2023-12-14,13,115.6,HEEGRAUCH
2023-12-14,12,124.13,HEEGRAUCH
2023-12-14,11,123.55,HEEGRAUCH
2023-12-14,10,124.36,HEEGRAUCH
2023-12-14,9,127.73,HEEGRAUCH
2023-12-14,8,118.55,HEEGRAUCH
2023-12-14,7,99.75,HEEGRAUCH
2023-12-14,6,82.13,HEEGRAUCH
2023-12-14,5,77.88,HEEGRAUCH
2023-12-14,4,76.41,HEEGRAUCH
2023-12-14,3,76.62,HEEGRAUCH
2023-12-14,2,76.19,HEEGRAUCH
2023-12-14,1,77.34,HEEGRAUCH
2023-12-13,24,84.25,HEEGRAUCH
2023-12-13,23,92.35,HEEGRAUCH
2023-12-13,22,90.88,HEEGRAUCH
2023-12-13,21,104.36,HEEGRAUCH
2023-12-13,20,117.46,HEEGRAUCH
